Section,=,Rectangular CFST,,,,,No of test,=,401,,,,,,,,,,,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],R100.150.4_3_90.275_50.-25,150.00,100.00,4.00,3135.00,308.46,,,92.26,,Cyl,50.00,-25.00,z-z,,502.81,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],R100.150.4_3_90.275_50.00,150.00,100.00,4.00,3135.00,362.79,,,91.59,,Cyl,50.00,0.00,z-z,,430.95,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],R100.150.4_3_90.275_50.25,150.00,100.00,4.00,3135.00,312.31,,,91.65,,Cyl,50.00,25.00,z-z,,287.38,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],R100.150.4_3_90.275_50.50,150.00,100.00,4.00,3135.00,341.86,,,89.69,,Cyl,50.00,50.00,z-z,,309.60,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],R100.150.5_3_90.275_20.-10,150.00,100.00,5.00,3135.00,336.27,,,91.69,,Cyl,20.00,-10.00,z-z,,692.62,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],R100.150.5_3_90.275_20.00,150.00,100.00,5.00,3135.00,370.39,,,79.72,,Cyl,20.00,0.00,z-z,,690.80,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],R100.150.5_3_90.275_20.10,150.00,100.00,5.00,3135.00,424.50,,,85.19,,Cyl,20.00,10.00,z-z,,622.30,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],R100.150.5_3_90.275_20.20,150.00,100.00,5.00,3135.00,459.82,,,91.04,,Cyl,20.00,20.00,z-z,,573.32,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],R100.150.5_3_90.275_50.-25,150.00,100.00,5.00,3135.00,306.38,,,85.06,,Cyl,50.00,-25.00,z-z,,548.45,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],R100.150.5_3_90.275_50.00,150.00,100.00,5.00,3135.00,396.01,,,87.39,,Cyl,50.00,0.00,z-z,,456.38,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],R100.150.5_3_90.275_50.25,150.00,100.00,5.00,3135.00,332.97,,,91.26,,Cyl,50.00,25.00,z-z,,328.50,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],R100.150.5_3_90.275_50.50,150.00,100.00,5.00,3135.00,368.09,,,82.54,,Cyl,50.00,50.00,z-z,,381.06,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],S100.100.4_90.275_20.20,100.00,100.00,4.00,2135.00,357.70,,,88.30,,Cyl,20.00,20.00,y-y,,490.70,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],S100.100.4_30.275_20.20,100.00,100.00,4.00,2135.00,292.70,,,36.40,,Cyl,20.00,20.00,y-y,,380.80,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.4_90.275_20.20,150.00,100.00,4.00,2135.00,298.50,,,86.40,,Cyl,20.00,20.00,y-y,,804.30,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.4_30.275_20.20,150.00,100.00,4.00,2135.00,312.30,,,30.70,,Cyl,20.00,20.00,y-y,,535.80,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.5_90.275_20.20,150.00,100.00,5.00,2135.00,459.80,,,83.00,,Cyl,20.00,20.00,y-y,,935.00,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.5_30.275_20.20,150.00,100.00,5.00,2135.00,332.90,,,32.80,,Cyl,20.00,20.00,y-y,,605.60,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],S100.100.4_90.275_50.50,100.00,100.00,4.00,2135.00,358.20,,,91.40,,Cyl,50.00,50.00,y-y,,321.10,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],S100.100.4_30.275_50.50,100.00,100.00,4.00,2135.00,346.20,,,35.00,,Cyl,50.00,50.00,y-y,,244.00,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.5_90.275_50.50,150.00,100.00,5.00,2135.00,336.20,,,92.70,,Cyl,50.00,50.00,y-y,,458.50,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.4_30.275_50.50,150.00,100.00,4.00,2135.00,362.70,,,31.40,,Cyl,50.00,50.00,y-y,,356.00,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.5_90.275_50.50,150.00,100.00,5.00,2135.00,368.00,,,84.00,,Cyl,50.00,50.00,y-y,,528.10,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.5_30.275_50.50,150.00,100.00,5.00,2135.00,396.00,,,26.10,,Cyl,50.00,50.00,y-y,,395.00,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],S100.100.4_90.275_20.10,100.00,100.00,4.00,2135.00,280.00,,,93.90,,Cyl,20.00,10.00,y-y,,525.70,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],S100.100.4_30.275_20.10,100.00,100.00,4.00,2135.00,353.20,,,37.10,,Cyl,20.00,10.00,y-y,,457.30,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.4_90.275_20.10,150.00,100.00,4.00,2135.00,342.00,,,90.40,,Cyl,20.00,10.00,y-y,,850.90,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.4_30.275_20.10,150.00,100.00,4.00,2135.00,280.00,,,31.00,,Cyl,20.00,10.00,y-y,,591.70,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.5_90.275_20.10,150.00,100.00,5.00,2135.00,424.50,,,86.50,,Cyl,20.00,10.00,y-y,,981.60,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.5_30.275_20.10,150.00,100.00,5.00,2135.00,299.20,,,32.80,,Cyl,20.00,10.00,y-y,,654.30,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],S100.100.4_90.275_50.25,100.00,100.00,4.00,2135.00,358.60,,,87.10,,Cyl,50.00,25.00,y-y,,383.10,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],S100.100.4_30.275_50.25,100.00,100.00,4.00,2135.00,358.60,,,33.40,,Cyl,50.00,25.00,y-y,,253.40,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.4_90.275_50.25,150.00,100.00,4.00,2135.00,424.50,,,90.80,,Cyl,50.00,25.00,y-y,,463.40,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.4_30.275_50.25,150.00,100.00,4.00,2135.00,424.50,,,33.10,,Cyl,50.00,25.00,y-y,,311.20,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.5_90.275_50.25,150.00,100.00,5.00,2135.00,293.50,,,85.90,,Cyl,50.00,25.00,y-y,,526.40,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.5_30.275_50.25,150.00,100.00,5.00,2135.00,293.50,,,29.20,,Cyl,50.00,25.00,y-y,,391.20,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],S100.100.4_90.275_20.0,100.00,100.00,4.00,2135.00,363.20,,,89.50,,Cyl,20.00,0.00,y-y,,652.60,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],S100.100.4_30.275_20.0,100.00,100.00,4.00,2135.00,358.20,,,35.80,,Cyl,20.00,0.00,y-y,,474.70,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.4_90.275_20.0,150.00,100.00,4.00,2135.00,280.00,,,90.60,,Cyl,20.00,0.00,y-y,,926.30,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.4_30.275_20.0,150.00,100.00,4.00,2135.00,308.40,,,29.50,,Cyl,20.00,0.00,y-y,,624.40,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.5_90.275_20.0,150.00,100.00,5.00,2135.00,370.30,,,89.60,,Cyl,20.00,0.00,y-y,,1066.00,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.5_30.275_20.0,150.00,100.00,5.00,2135.00,306.30,,,36.30,,Cyl,20.00,0.00,y-y,,728.50,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],S100.100.4_90.275_20.-10,100.00,100.00,4.00,2135.00,346.90,,,92.70,,Cyl,20.00,-10.00,y-y,,737.00,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],S100.100.4_30.275_20.-10,100.00,100.00,4.00,2135.00,346.90,,,34.10,,Cyl,20.00,-10.00,y-y,,526.20,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.4_90.275_20.-10,150.00,100.00,4.00,2135.00,268.10,,,93.60,,Cyl,20.00,-10.00,y-y,,945.80,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.4_30.275_20.-10,150.00,100.00,4.00,2135.00,268.10,,,31.70,,Cyl,20.00,-10.00,y-y,,563.30,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.5_90.275_20.-10,150.00,100.00,5.00,2135.00,304.50,,,93.40,,Cyl,20.00,-10.00,y-y,,1042.00,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.5_30.275_20.-10,150.00,100.00,5.00,2135.00,304.50,,,30.60,,Cyl,20.00,-10.00,y-y,,720.20,
Mark (RCFT_C+PBC),Qu et al.,2013,[99],PYA-1,100.00,150.00,4.07,700.00,295.00,496.00,,39.00,,Cyl,10.00,10.00,y-y,,750.00,
Mark (RCFT_C+PBC),Qu et al.,2013,[99],PYA-2,100.00,150.00,4.07,800.00,295.00,496.00,,66.00,,Cyl,15.00,15.00,y-y,,1040.00,
Mark (RCFT_C+PBC),Qu et al.,2013,[99],PYA-3,100.00,150.00,4.07,900.00,295.00,496.00,,52.00,,Cyl,20.00,20.00,y-y,,810.00,
Mark (RCFT_C+PBC),Qu et al.,2013,[99],PYA-4,150.00,200.00,4.43,700.00,242.00,410.00,,52.00,,Cyl,20.00,20.00,y-y,,1750.00,
Mark (RCFT_C+PBC),Qu et al.,2013,[99],PYA-5,150.00,200.00,4.43,800.00,242.00,410.00,,39.00,,Cyl,30.00,30.00,y-y,,1400.00,
Mark (RCFT_C+PBC),Qu et al.,2013,[99],PYA-6,150.00,200.00,4.43,900.00,242.00,410.00,,66.00,,Cyl,40.00,40.00,y-y,,1250.00,
Mark (RCFT_C+PBC),Qu et al.,2013,[99],PYA-7,200.00,300.00,5.73,800.00,336.00,533.00,,66.00,,Cyl,50.00,50.00,y-y,,3450.00,
Mark (RCFT_C+PBC),Qu et al.,2013,[99],PYA-8,200.00,300.00,5.73,900.00,336.00,533.00,,52.00,,Cyl,60.00,60.00,y-y,,2650.00,
Mark (RCFT_C+PBC),Qu et al.,2013,[99],PYA-9,200.00,300.00,5.73,1000.00,336.00,533.00,,39.00,,Cyl,70.00,70.00,y-y,,2445.00,
Mark (RCFT_C+PBC),Lee et al.,2016,[105],E1,300.00,300.00,5.00,1720.00,746.00,835.00,,70.50,,Cyl,40.00,40.00,y-y,,6491.00,
Mark (RCFT_C+PBC),Lee et al.,2016,[105],E2,150.00,300.00,5.00,1720.00,746.00,835.00,,83.60,,Cyl,20.00,20.00,z-z,,3873.00,
Mark (RCFT_C+PBC),Lee et al.,2016,[105],E3,300.00,300.00,5.00,1720.00,301.00,466.00,,70.50,,Cyl,40.00,40.00,y-y,,4553.00,
Mark (RCFT_C+PBC),Du et al.,2017,[106],SC40-150-0.2,150.00,150.00,8.28,1180.00,488.40,553.00,,43.20,,Cube,13.00,13.00,y-y,,2470.00,
Mark (RCFT_C+PBC),Du et al.,2017,[106],SC40-180-0.2,120.00,180.00,8.28,1180.00,488.40,553.00,,43.20,,Cube,18.50,18.50,y-y,,2660.00,
Mark (RCFT_C+PBC),Du et al.,2017,[106],SC40-200-0.2,100.00,200.00,8.28,1180.00,488.40,553.00,,43.20,,Cube,20.00,20.00,y-y,,2595.00,
Mark (RCFT_C+PBC),Du et al.,2017,[106],SC50-150-0.2,150.00,150.00,8.28,1180.00,488.40,553.00,,55.30,,Cube,15.00,15.00,y-y,,2450.00,
Mark (RCFT_C+PBC),Du et al.,2017,[106],SC50-180-0.2,120.00,180.00,8.28,1180.00,488.40,553.00,,55.30,,Cube,18.00,18.00,y-y,,2530.00,
Mark (RCFT_C+PBC),Du et al.,2017,[106],SC50-200-0.2,100.00,200.00,8.28,1180.00,488.40,553.00,,55.30,,Cube,19.00,19.00,y-y,,2625.00,
Mark (RCFT_C+PBC),Du et al.,2017,[106],SC40-150-0.4,150.00,150.00,8.28,1180.00,488.40,553.00,,43.20,,Cube,31.50,31.50,y-y,,2042.00,
Mark (RCFT_C+PBC),Du et al.,2017,[106],SC40-180-0.4,120.00,180.00,8.28,1180.00,488.40,553.00,,43.20,,Cube,37.00,37.00,y-y,,2150.00,
Mark (RCFT_C+PBC),Du et al.,2017,[106],SC40-200-0.4,100.00,200.00,8.28,1180.00,488.40,553.00,,43.20,,Cube,39.80,39.80,y-y,,2228.00,
Mark (RCFT_C+PBC),Du et al.,2017,[106],SC50-150-0.4,150.00,150.00,8.28,1180.00,488.40,553.00,,55.30,,Cube,32.50,32.50,y-y,,2020.00,
Mark (RCFT_C+PBC),Du et al.,2017,[106],SC50-180-0.4,120.00,180.00,8.28,1180.00,488.40,553.00,,55.30,,Cube,41.00,41.00,y-y,,2150.00,
Mark (RCFT_C+PBC),Du et al.,2017,[106],SC50-200-0.4,100.00,200.00,8.28,1180.00,488.40,553.00,,55.30,,Cube,41.50,41.50,y-y,,2100.00,
,Mursi and Uy,2004,[132],SL-C110,120,120,5.00,2174,761,813,,20.34,,Cyl,10,10,y-y,,1481.00,
,Mursi and Uy,2004,[132],SL-C160,170,170,5.00,2416,761,813,,20.34,,Cyl,15,15,y-y,,2126.00,
,Mursi and Uy,2004,[132],SL-C210,220,220,5.00,2416,761,813,,20.34,,Cyl,20,20,y-y,,2939.00,
,Mursi and Uy,2004,[132],SL-C260,270,270,5.00,2817,761,813,,20.34,,Cyl,25,25,y-y,,3062.00,
,Xiong et al. ,2017,[137],SS-1,200,200,12.50,3640,465,559,206,183.00,,Cyl 100,20.00,20.00,y-y,,5187.00,Ec is calculated by
,Xiong et al. ,2017,[137],SS-2,200,200,12.00,3640,756,825,199,176.00,,Cyl 100,20.00,20.00,y-y,,7136.00,Ec is calculated by
,Xiong et al. ,2017,[137],SS-3,200,200,12.00,3640,756,825,199,177.00,,Cyl 100,50.00,50.00,y-y,,5078.00,Ec is calculated by
,Liew et al.,2016,[143],SS-1,200,200,12.50,3640,465,559,206,183.00,68,Cyl 100,20.00,20.00,y-y,,5187.00,
,Liew et al.,2016,[143],SS-2,200,200,12.00,3640,756,825,199,176.00,68,Cyl 100,20.00,20.00,y-y,,7136.00,
,Liew et al.,2016,[143],SS-3,200,200,12.00,3640,756,825,199,177.00,68,Cyl 100,50.00,50.00,y-y,,4997.00,
,Liu,2006,[144],S1,120,120,4.00,360,495,581,206,30.00,39,Cyl,15.00,15.00,y-y,,1294.00,
,Liu,2006,[144],S2,120,120,4.00,360,495,581,206,30.00,39,Cyl,25.00,25.00,y-y,,1125.00,
,Liu,2006,[144],S3,120,120,4.00,360,495,581,206,30.00,39,Cyl,30.00,30.00,y-y,,949.00,
,Liu,2006,[144],S4,120,120,4.00,360,495,581,206,30.00,39,Cyl,45.00,45.00,y-y,,810.00,
,Liu,2006,[144],S5,100,150,4.00,450,495,581,206,30.00,39,Cyl,15.00,15.00,y-y,,1422.00,
,Liu,2006,[144],S6,100,150,4.00,450,495,581,206,30.00,39,Cyl,30.00,30.00,y-y,,1190.00,
,Liu,2006,[144],S7,100,150,4.00,450,495,581,206,30.00,39,Cyl,45.00,45.00,y-y,,964.00,
,Liu,2006,[144],S8,100,150,4.00,450,495,581,206,30.00,39,Cyl,60.00,60.00,y-y,,763.00,
,Liu,2006,[144],S9,180,90,4.00,540,495,581,206,30.00,39,Cyl,20.00,20.00,y-y,,1491.00,
,Liu,2006,[144],S10,180,90,4.00,540,495,581,206,30.00,39,Cyl,30.00,30.00,y-y,,1319.00,
,Liu,2006,[144],S11,180,90,4.00,540,495,581,206,30.00,39,Cyl,40.00,40.00,y-y,,1208.00,
,Liu,2006,[144],S12,180,90,4.00,540,495,581,206,30.00,39,Cyl,50.00,50.00,y-y,,1051.00,
,Liu,2006,[144],S13,130,130,4.00,390,495,581,206,30.00,39,Cyl,15.00,15.00,y-y,,1472.00,
,Liu,2006,[144],S14,130,130,4.00,390,495,581,206,30.00,39,Cyl,25.00,25.00,y-y,,1305.00,
,Liu,2006,[144],S15,130,130,4.00,390,495,581,206,30.00,39,Cyl,40.00,40.00,y-y,,1022.00,
,Liu,2006,[144],S16,130,130,4.00,390,495,581,206,30.00,39,Cyl,55.00,55.00,y-y,,789.00,
,Liu,2006,[144],L1,150,100,4.00,2600,495,581,206,30.00,39,Cyl,15.00,15.00,y-y,,1130.00,
,Liu,2006,[144],L2,150,100,4.00,2600,495,581,206,30.00,39,Cyl,30.00,30.00,y-y,,884.00,
,Liu,2006,[144],L3,150,100,4.00,2600,495,581,206,30.00,39,Cyl,45.00,45.00,y-y,,711.00,
,Liu,2006,[144],L4,150,100,4.00,2600,495,581,206,30.00,39,Cyl,60.00,60.00,y-y,,617.00,
,Li et al.,2018,[148],EC1-1,150,150,4.00 ,450,434.56,546.2,206,110.50,,Cube,20.00,20.00,y-y,,2114.40,
,Li et al.,2018,[148],EC1-2,150,150,4.00 ,450,434.56,546.2,206,110.50,,Cube,20.00,20.00,y-y,,2129.70,
,Li et al.,2018,[148],EC2-1,150,150,4.00 ,450,434.56,546.2,206,110.50,,Cube,35.00,35.00,y-y,,1845.90,
,Li et al.,2018,[148],EC2-2,150,150,4.00 ,450,434.56,546.2,206,110.50,,Cube,35.00,35.00,y-y,,1717.20,
,Li et al.,2018,[148],EC3-1,150,150,4.00 ,450,434.56,546.2,206,110.50,,Cube,50.00,50.00,y-y,,1561.40,
,Li et al.,2018,[148],EC3-2,150,150,4.00 ,450,434.56,546.2,206,110.50,,Cube,50.00,50.00,y-y,,1454.90,
,Li et al.,2018,[148],EC4-1,150,150,4.00 ,450,434.56,546.2,206,110.50,,Cube,65.00,65.00,y-y,,1265.00,
,Li et al.,2018,[148],EC4-2,150,150,4.00 ,450,434.56,546.2,206,110.50,,Cube,65.00,65.00,y-y,,1244.10,
,Li et al.,2018,[148],EC5-1,150,150,5.00 ,450,433.1,547.6,209,110.50,,Cube,50.00,50.00,y-y,,1668.60,
,Li et al.,2018,[148],EC5-2,150,150,5.00 ,450,433.1,547.6,209,110.50,,Cube,50.00,50.00,y-y,,1630.10,
,Li et al.,2018,[148],EC6-1,150,150,6.00 ,450,436.9,550.4,207,110.50,,Cube,50.00,50.00,y-y,,1835.70,
,Li et al.,2018,[148],EC6-2,150,150,6.00 ,450,436.9,550.4,207,110.50,,Cube,50.00,50.00,y-y,,1797.20,
,Uy,2000,[151],HS2,126,126,3.00 ,360,300,,,50.00,,Cyl,20.00,20.00,y-y,,996.00,
,Uy,2000,[151],HS3,126,126,3.00 ,360,300,,,50.00,,Cyl,40.00,40.00,y-y,,739.00,
,Uy,2000,[151],HS4,126,126,3.00 ,360,300,,,50.00,,Cyl,50.00,50.00,y-y,,619.00,
,Uy,2000,[151],HS8,156,156,3.00 ,450,300,,,50.00,,Cyl,25.00,25.00,y-y,,1426.00,
,Uy,2000,[151],HS9,156,156,3.00 ,450,300,,,50.00,,Cyl,50.00,50.00,y-y,,1203.00,
,Uy,2000,[151],HS10,156,156,3.00 ,450,300,,,50.00,,Cyl,60.00,60.00,y-y,,959.00,
,Uy,2000,[151],NS2,186,186,3.00 ,540,300,,,32.00,,Cyl,37.00,37.00,y-y,,1069.00,
,Uy,2000,[151],NS3,186,186,3.00 ,540,300,,,32.00,,Cyl,56.00,56.00,y-y,,1133.00,
,Uy,2000,[151],NS4,186,186,3.00 ,540,300,,,32.00,,Cyl,84.00,84.00,y-y,,895.00,
,Uy,2000,[151],NS8,246,246,3.00 ,720,300,,,38.00,,Cyl,48.00,48.00,y-y,,2255.00,
,Uy,2000,[151],NS9,246,246,3.00 ,720,300,,,38.00,,Cyl,74.00,74.00,y-y,,1900.00,
,Uy,2000,[151],NS10,246,246,3.00 ,720,300,,,38.00,,Cyl,100.00,100.00,y-y,,1279.00,
,Cederwall et al.,1990,[159],1-1,120,120,5.00 ,3000,304,,,47.0 ,,Cyl,20.00,20.00,y-y,,610.00,
,Cederwall et al.,1990,[159],2-1,120,120,5.00 ,3000,438,,,46.0 ,,Cyl,20.00,20.00,y-y,,700.00,
,Cederwall et al.,1990,[159],3-1,120,120,5.00 ,3000,327,,,96.0 ,,Cyl,20.00,20.00,y-y,,710.00,
,Cederwall et al.,1990,[159],4-1,120,120,5.00 ,3000,439,,,96.0 ,,Cyl,20.00,20.00,y-y,,830.00,
,Cederwall et al.,1990,[159],5-1,120,120,8.00 ,3000,323,,,39.0 ,,Cyl,20.00,20.00,y-y,,740.00,
,Cederwall et al.,1990,[159],6-1,120,120,8.00 ,3000,300,,,46.0 ,,Cyl,20.00,20.00,y-y,,770.00,
,Cederwall et al.,1990,[159],7-1,120,120,8.00 ,3000,376,,,47.0 ,,Cyl,20.00,20.00,y-y,,870.00,
,Cederwall et al.,1990,[159],8-1,120,120,8.00 ,3000,323,,,103.0 ,,Cyl,20.00,20.00,y-y,,820.00,
,Cederwall et al.,1990,[159],9-1,120,120,8.00 ,3000,379,,,103.0 ,,Cyl,20.00,20.00,y-y,,1000.00,
,Cederwall et al.,1990,[159],10-1,120,120,8.00 ,3000,379,,,39.0 ,,Cyl,20.00,20.00,y-y,,820.00,
,Cederwall et al.,1990,[159],13-1,120,120,8.00 ,3000,390,,,80.0 ,,Cyl,10.00,10.00,y-y,,1160.00,
,Cederwall et al.,1990,[159],17-1,120,120,8.00 ,3000,404,,,92.0 ,,Cyl,20.00,20.00,y-y,,1010.00,
Added Jan21 2043,Uy,2001,[134],HSS3,110,110,5,330,750,,,30,,Cyl,15.00,15.00,y-y,,1555.00,
Added Jan21 2044,Uy,2001,[134],HSS4,110,110,5,330,750,,,30,,Cyl,30.00,30.00,y-y,,1281.00,
Added Jan21 2045,Uy,2001,[134],HSS7,160,160,5,330,750,,,30,,Cyl,40.00,40.00,y-y,,1308.00,
Added Jan21 2046,Uy,2001,[134],HSS10,160,160,5,330,750,,,30,,Cyl,25.00,25.00,y-y,,2024.00,
Added Jan21 2047,Uy,2001,[134],HSS11,160,160,5,330,750,,,30,,Cyl,50.00,50.00,y-y,,1979.00,
Added Jan21 2048,Uy,2001,[134],HSS16,210,210,5,330,750,,,32,,Cyl,25.00,25.00,y-y,,3106.00,
Added Jan21 2049,Uy,2001,[134],HSS17,210,210,5,330,750,,,32,,Cyl,50.00,50.00,y-y,,2617.00,